gamma,H1a,H2a,DT1a,DT2a,H1v,H2v,DT1v,DT2v,diverged
0.002,0.25244564031,0.63598301002,0.888428650331,0.888428650331,0,0,0,0,False
0.004,0.251303126143,0.638076457976,0.889379584119,0.889379584119,0,0,0,0,False
0.006,0.250138320413,0.640196756656,0.890335077069,0.890335077069,0,0,0,0,False
0.008,0.248950732101,0.642344481635,0.891295213736,0.891295213736,0,0,0,0,False
0.01,0.247739856912,0.644520224404,0.892260081316,0.892260081316,5.37236701299e-14,5.37236794293e-14,2.07234862378e-14,7.86987789438e-15,False
0.012,0.246505176858,0.646724592894,0.893229769752,0.893229769752,0,0,0,0,False
0.014,0.245246159841,0.648958211996,0.894204371837,0.894204371837,0,0,0,1.11022302463e-16,False
0.016,0.243962259208,0.651221724121,0.895183983329,0.895183983329,0,0,0,0,False
0.018,0.242652913302,0.653515789761,0.896168703062,0.896168703062,0,0,0,0,False
0.02,0.241317544993,0.65584108808,0.897158633074,0.897158633074,0,0,0,0,False
0.022,0.239955561199,0.658198317526,0.898153878725,0.898153878725,0,0,0,0,False
0.024,0.238566352384,0.660588196454,0.899154548838,0.899154548838,0,0,0,0,False
0.026,0.237149292051,0.66301146378,0.900160755832,0.900160755832,0,0,0,0,False
0.028,0.235703736212,0.665468879654,0.901172615866,0.901172615866,0,0,0,0,False
0.03,0.234229022839,0.667961226155,0.902190248994,0.902190248994,5.33212404485e-14,5.37236794293e-14,1.97871866525e-14,6.7680883211e-15,False
0.032,0.232724471311,0.670489308008,0.903213779318,0.903213779318,0,0,0,0,False
0.034,0.23118938183,0.673053953327,0.904243335157,0.904243335157,0,0,0,0,False
0.036,0.229623034829,0.675656014387,0.905279049216,0.905279049216,0,0,0,0,False
0.038,0.228024690359,0.678296368407,0.906321058767,0.906321058767,5.37236701299e-14,5.37236794293e-14,1.96219859956e-14,6.34827647427e-15,False
0.04,0.226393587461,0.680975918376,0.907369505837,0.907369505837,5.37236701299e-14,5.33212607612e-14,1.95169903148e-14,6.14474808438e-15,False
0.042,0.224728943517,0.683695593892,0.908424537409,0.908424537409,5.37236701299e-14,5.33212607612e-14,1.94643412162e-14,6.04112491115e-15,False
0.044,0.223029953584,0.686456352034,0.909486305618,0.909486305618,0,0,0,0,False
0.046,0.221295789716,0.689259178262,0.910554967978,0.910554967978,0,0,1.11022302463e-16,0,False
0.048,0.219525600258,0.692105087341,0.911630687598,0.911630687598,0,0,1.11022302463e-16,0,False
0.05,0.217718509129,0.694995124293,0.912713633422,0.912713633422,5.37236701299e-14,5.33212607612e-14,1.91495556635e-14,5.57165472302e-15,False
0.052,0.215873615088,0.697930365383,0.913803980471,0.913803980471,0,0,0,0,False
0.054,0.213989990979,0.700911919127,0.914901910106,0.914901910106,0,0,0,0,False
0.056,0.212066682958,0.703940927333,0.916007610291,0.916007610291,5.37236701299e-14,5.37236794293e-14,1.89921630022e-14,5.29891666713e-15,False
0.058,0.210102709708,0.707018566169,0.917121275877,0.917121275877,0,0,1.11022302463e-16,0,False
0.06,0.208097061636,0.71014604726,0.918243108896,0.918243108896,0,0,0,0,False
0.062,0.20604870005,0.713324618816,0.919373318867,0.919373318867,0,0,0,0,False
0.064,0.203956556331,0.716555566788,0.920512123119,0.920512123119,0,0,0,0,False
0.066,0.20181953108,0.719840216045,0.921659747125,0.921659747125,0,0,0,0,False
0.068,0.199636493261,0.723179931591,0.922816424852,0.922816424852,0,0,0,0,False
0.07,0.197406279334,0.726576119798,0.923982399131,0.923982399131,0,0,0,1.11022302463e-16,False
0.072,0.195127692368,0.730030229669,0.925157922037,0.925157922037,5.33212404485e-14,5.37236794293e-14,1.82772620372e-14,4.40775028929e-15,False
0.074,0.192799501161,0.733543754126,0.926343255287,0.926343255287,0,0,0,1.11022302463e-16,False
0.076,0.190420439347,0.737118231315,0.927538670662,0.927538670662,0,0,0,0,False
0.078,0.187989204499,0.74075524594,0.92874445044,0.92874445044,0,0,0,1.11022302463e-16,False
0.08,0.185504457242,0.744456430606,0.929960887848,0.929960887848,0,0,1.11022302463e-16,0,False
0.082,0.182964820356,0.748223467184,0.93118828754,0.93118828754,0,0,0,1.11022302463e-16,False
0.084,0.180368877905,0.752058088187,0.932426966092,0.932426966092,0,0,0,0,False
0.086,0.177715174361,0.755962078148,0.933677252509,0.933677252509,0,0,0,0,False
0.088,0.175002213755,0.759937275016,0.934939488771,0.934939488771,5.33212404485e-14,5.37236794293e-14,1.78084838859e-14,3.46274286196e-15,False
0.09,0.17222845885,0.763985571535,0.936214030385,0.936214030385,0,0,0,0,False
0.092,0.169392330338,0.768108916627,0.937501246965,0.937501246965,0,0,0,0,False
0.094,0.166492206078,0.772309316761,0.938801522838,0.938801522838,0,0,0,0,False
0.096,0.163526420373,0.776588837298,0.940115257671,0.940115257671,0,0,0,0,False
0.098,0.160493263301,0.780949603815,0.941442867117,0.941442867117,0,0,0,0,False
0.1,0.157390980105,0.785393803385,0.942784783491,0.942784783491,0,0,0,1.11022302463e-16,False
0.102,0.154217770652,0.789923685816,0.944141456468,0.944141456468,5.37236701299e-14,5.33212607612e-14,1.76280833564e-14,2.50058366333e-15,False
0.104,0.150971788978,0.794541564828,0.945513353806,0.945513353806,0,0,0,0,False
0.106,0.147651142926,0.79924981916,0.946900962086,0.946900962086,0,0,0,1.11022302463e-16,False
0.108,0.144253893886,0.804050893599,0.948304787485,0.948304787485,0,0,0,0,False
0.11,0.140778056668,0.808947299901,0.949725356569,0.949725356569,0,0,0,0,False
0.112,0.137221599498,0.813941617601,0.951163217099,0.951163217099,5.37236701299e-14,5.37236794293e-14,1.75232621835e-14,1.94212853391e-15,False
0.114,0.133582444187,0.819036494689,0.952618938876,0.952618938876,0,0,0,0,False
0.116,0.129858466457,0.82423464813,0.954093114586,0.954093114586,0,0,0,0,False
0.118,0.126047496473,0.829538864208,0.955586360681,0.955586360681,0,0,0,0,False
0.12,0.122147319583,0.834951998678,0.957099318261,0.957099318261,0,0,0,0,False
0.122,0.118155677304,0.840476976677,0.958632653981,0.958632653981,0,0,0,1.11022302463e-16,False
0.124,0.114070268565,0.846116792401,0.960187060966,0.960187060966,0,0,0,0,False
0.126,0.109888751241,0.851874508487,0.961763259728,0.961763259728,0,0,0,0,False
0.128,0.105608744008,0.857753255087,0.963361999094,0.963361999094,0,0,0,0,False
0.13,0.101227828543,0.863756228589,0.964984057132,0.964984057132,0,0,0,0,False
0.132,0.0967435521003,0.869886689966,0.966630242066,0.966630242066,0,0,1.11022302463e-16,0,False
0.134,0.0921534304978,0.876147962688,0.968301393186,0.968301393186,0,0,0,0,False
0.136,0.0874549515453,0.882543430189,0.969998381735,0.969998381735,0,0,0,0,False
0.138,0.0826455789495,0.889076532821,0.971722111771,0.971722111771,0,0,0,0,False
0.14,0.0777227567283,0.89575076427,0.973473520999,0.973473520999,0,0,1.11022302463e-16,0,False
0.142,0.0726839141695,0.902569667383,0.975253581552,0.975253581552,0,0,1.11022302463e-16,1.11022302463e-16,False
0.144,0.0675264713686,0.90953682936,0.977063300728,0.977063300728,0,0,0,0,False
0.146,0.0622478453784,0.916655876275,0.978903721653,0.978903721653,0,0,0,0,False
0.148,0.0568454570029,0.923930466871,0.980775923874,0.980775923874,0,0,0,1.11022302463e-16,False
0.15,0.0513167382639,0.931364285598,0.982681023862,0.982681023862,0,0,0,0,False
0.152,0.0456591405706,0.938961034838,0.984620175409,0.984620175409,0,0,0,0,False
0.154,0.0398701436105,0.946724426295,0.986594569905,0.986594569905,0,0,0,0,False
0.156,0.0339472649849,0.954658171504,0.988605436489,0.988605436489,0,0,1.11022302463e-16,0,False
0.158,0.0278880705987,0.962765971438,0.990654042037,0.990654042037,0,0,0,0,False
0.16,0.02169018581,0.971051505183,0.992741690993,0.992741690993,0,0,0,0,False
0.162,0.015351307339,0.979518417668,0.994869725007,0.994869725007,0,0,0,0,False
0.164,0.00886921592007,0.988170306454,0.997039522374,0.997039522374,0,0,0,0,False
0.166,0.00224178967824,0.997010707568,0.999252497246,0.999252497246,0,0,0,0,False
0.168,0.234449810384,0.748660293129,0.948224270936,0.997952733743,0.296322002312,0.292179082949,0.0550680599309,0.00287822368972,False
0.17,0.284029706602,0.698622632356,0.937879539208,0.9987637784,0.303938465576,0.300907524109,0.0542977904184,0.00318557185766,False
0.172,0.299001153359,0.671645778541,0.934994947161,0.999870012889,0.301484542126,0.309561492438,0.0532402981928,0.00352482435603,False
0.174,0.328378292628,0.643636912484,0.930159915441,1.00087471672,0.309933537952,0.31692600312,0.0528630909753,0.00389905964765,False
0.176,0.324873336301,0.644472787769,0.931749538526,1.00218923004,0.311967752439,0.31799278017,0.0529778060649,0.00453935893958,False
0.178,0.357271116752,0.613891485522,0.92649063257,1.00268135419,0.317622151017,0.306469531796,0.0519874518579,0.00470150022771,False
0.18,0.358347039427,0.621456763934,0.927202108147,1.00407876274,0.319231198034,0.307312359356,0.0520227089808,0.00531245281552,False
0.182,0.356334626775,0.624825156467,0.928427281613,1.00540118081,0.32034388902,0.307675146051,0.0518690537022,0.00596310485847,False
0.184,0.392071729486,0.569757782618,0.921393968111,1.00543478183,0.306649159128,0.311682913066,0.0475219733353,0.00615040022429,False
0.186,0.39079629963,0.572434894287,0.922492568982,1.0066371874,0.30748722656,0.311833015614,0.0472848415183,0.0068126660859,False
